category,Resto_name,Dishes_one,Dishes_two,Dishes_three,Dishes_four,Dishes_five,Dishes_six,Dishes_seven,Dishes_eight,Dishes_nine,Dishes_ten,locality_verbose
Seafood Filipino,Marina,Buttered Garlic Shrimp, Grilled Squid, Steamed Fish, Sinigang na Hipon, Baked Mussels, Adobong Pusit, Fish Escabeche, Crispy Calamari, Kare-Kare, Halo-Halo,"Market! Market!, Bonifacio Global City, Taguig City, Taguig City"
Seafood Filipino,Marina,Buttered Garlic Shrimp, Grilled Squid, Steamed Fish, Sinigang na Hipon, Baked Mussels, Adobong Pusit, Fish Escabeche, Crispy Calamari, Kare-Kare, Halo-Halo,"Entertainment Mall, SM Mall of Asia, Mall of Asia Complex (MOA), Pasay City, Pasay City"
Filipino Grill,Marina Grill,Chicken BBQ, Pork BBQ, Isaw, Betamax, Adidas, Liempo, Lechon Manok, Inihaw na Bangus, Sisig, Halo-Halo,"Manhattan Parkview, Cubao, Quezon City, Quezon City"
Spanish,Mario's,Paella Valenciana, Lengua Estofado, Callos, Cochinillo, Chuletas de Cordero, Pollo Iberico, Gambas al Ajillo, Fabada, Sopa de Ajo, Tarta de Santiago,"Tomas Morato, Quezon City"
Filipino Spanish,Market Basket Alabang,Callos, Paella Negra, Lechon Kawali, Crispy Pata, Gambas al Ajillo, Chorizo Bilbao, Chicken Inasal, Beef Salpicao, Adobong Kangkong, Ube Leche Flan,"Festival Mall, Filinvest City, Muntinlupa City , Muntinlupa City"
Chinese Japanese Filipino Korean,Market Cafe - AG New World Manila Bay Hotel,Sushi, Sashimi, Tempura, Dim Sum, Roast Beef, Pasta, Pizza, Salad Bar, Dessert Station, Carving Station,"AG New World Manila Bay Hotel, Malate, Manila, Manila"
Asian European American,Marriott Cafe - Manila Marriott Hotel,International Buffet, Seafood Station, Carving Station, Salad Bar, Sushi Bar, Dim Sum, Pasta Station, Dessert Bar, Indian Station, Roast Station,"Manila Marriott Hotel, Newport City, Pasay City, Pasay City"
Australian,Martin Place Social,Grilled Ribeye Steak, Fish and Chips, Chicken Parmigiana, Lamb Shank, Pesto Pasta, Burgers, Caesar Salad, Nachos, Chicken Wings, Tiramisu,"The Plaza at Arya Residences, Bonifacio Global City, Taguig City, Taguig City"
Japanese Sushi,Marufuku Japanese Restaurant,Sashimi Platter, Tempura, Ramen, Udon, Yakisoba, Gyoza, Teriyaki Chicken, Miso Soup, Chawanmushi, Matcha Ice Cream,"Ortigas, Pasig City"
Japanese,Marugame Udon,Kake Udon, Beef Udon, Tempura Udon, Kitsune Udon, Niku Udon, Ontama Bukkake Udon, Curry Udon, Kamatama Udon, Zaru Udon, Chicken Katsu Udon,"Bonifacio High Street, Bonifacio Global City, Taguig City, Taguig City"
Japanese,Marugame Udon,Kake Udon, Beef Udon, Tempura Udon, Kitsune Udon, Niku Udon, Ontama Bukkake Udon, Curry Udon, Kamatama Udon, Zaru Udon, Chicken Katsu Udon,"Glorietta 4, Glorietta Complex, Makati City, Makati City"
Bakery Filipino,Mary Grace,Ensaymada, Cheese Roll, Spanish Bread, Cheese Puffs, Cheese Rolls, Cinnamon Roll, Ube Cheesecake, Chocolate Cake, Mango Bene, Blueberry Cheesecake,"Eastwood Mall, Libis, Quezon City, Quezon City"
Bakery Filipino Bakery,Mary Grace,Ensaymada, Cheese Roll, Spanish Bread, Cheese Puffs, Cheese Rolls, Cinnamon Roll, Ube Cheesecake, Chocolate Cake, Mango Bene, Blueberry Cheesecake,"Power Plant Mall, Rockwell, Makati City, Makati City"
Bakery Filipino Bakery,Mary Grace,Ensaymada, Cheese Roll, Spanish Bread, Cheese Puffs, Cheese Rolls, Cinnamon Roll, Ube Cheesecake, Chocolate Cake, Mango Bene, Blueberry Cheesecake,"SM Center Pasig, Ugong, Pasig City, Pasig City"
Bakery Filipino,Mary Grace,Ensaymada, Cheese Roll, Spanish Bread, Cheese Puffs, Cheese Rolls, Cinnamon Roll, Ube Cheesecake, Chocolate Cake, Mango Bene, Blueberry Cheesecake,"RCBC Plaza, Salcedo Village, Makati City, Makati City"
Bakery Filipino Bakery,Mary Grace,Ensaymada, Cheese Roll, Spanish Bread, Cheese Puffs, Cheese Rolls, Cinnamon Roll, Ube Cheesecake, Chocolate Cake, Mango Bene, Blueberry Cheesecake,"Glorietta 4, Glorietta Complex, Makati City, Makati City"
Bakery Filipino,Mary Grace,Ensaymada, Cheese Roll, Spanish Bread, Cheese Puffs, Cheese Rolls, Cinnamon Roll, Ube Cheesecake, Chocolate Cake, Mango Bene, Blueberry Cheesecake,"Gateway Mall, Cubao, Quezon City, Quezon City"
Bakery Filipino,Mary Grace,Ensaymada, Cheese Roll, Spanish Bread, Cheese Puffs, Cheese Rolls, Cinnamon Roll, Ube Cheesecake, Chocolate Cake, Mango Bene, Blueberry Cheesecake,"Makati Medical Center, Legaspi Village, Makati City, Makati City"
Korean Japanese,Mashitta,Samgyeopsal, Japchae, Bulgogi, Kimbap, Kimchi Jjigae, Bibimbap, Sundubu Jjigae, Dak Bulgogi, Tteokbokki, Haemul Pajeon,"Quiapo, Manila"
Korean,Masil,Kimchi Jjigae, Bibimbap, Bulgogi, Samgyeopsal, Galbitang, Japchae, Sundubu Jjigae, Dakgalbi, Kimchi Fried Rice, Haemul Pajeon,"Oranbo, Pasig City"
Korean,Masil,Kimchi Jjigae, Bibimbap, Bulgogi, Samgyeopsal, Galbitang, Japchae, Sundubu Jjigae, Dakgalbi, Kimchi Fried Rice, Haemul Pajeon,"Tiendesitas, Ugong, Pasig City, Pasig City"
Filipino,Mason's,Sinigang na Lechon, Pork Sisig, Crispy Kare-Kare, Beef Caldereta, Inasal Chicken, Pancit Malabon, Lechon Kawali, Pinakbet, Halo-Halo, Turon,"The Hub at R20 Food Park, Project 8, Quezon City, Quezon City"
Filipino,Master Garden,Lechon Kawali, Bicol Express, Pork Adobo, Kare-Kare, Chicken Inasal, Pancit Canton, Sinigang na Baboy, Crispy Pata, Sisig, Halo-Halo,"Tomas Morato, Quezon City"
Street Food Filipino,Master Joe Sisig Express,Sisig Rice Bowl, Sisig Tacos, Sisig Burrito, Sisig Nachos, Sisig Baked Mac, Sisig Fries, Sisig Wrap, Sisig Pasta, Sisig Pizza, Sisig Burger,"Circle C Mall, Project 8, Quezon City, Quezon City"
Street Food Chinese,Master Siomai,Pork Siomai, Shrimp Siomai, Beef Siomai, Chicken Siomai, Quail Egg Siomai, Japanese Siomai, Black Gulaman, Buchi, Kikiam, Shark's Fin Siomai,"Ever Gotesco Manila Plaza, Quiapo, Manila, Manila"
Street Food Chinese,Master Siomai,Pork Siomai, Shrimp Siomai, Beef Siomai, Chicken Siomai, Quail Egg Siomai, Japanese Siomai, Black Gulaman, Buchi, Kikiam, Shark's Fin Siomai,"Araneta Square Mall, South Caloocan, Caloocan City, Caloocan City"
Street Food Chinese,Master Siomai,Pork Siomai, Shrimp Siomai, Beef Siomai, Chicken Siomai, Quail Egg Siomai, Japanese Siomai, Black Gulaman, Buchi, Kikiam, Shark's Fin Siomai,"Starmall Alabang, Filinvest City, Muntinlupa City, Muntinlupa City"
Street Food Chinese,Master Siomai,Pork Siomai, Shrimp Siomai, Beef Siomai, Chicken Siomai, Quail Egg Siomai, Japanese Siomai, Black Gulaman, Buchi, Kikiam, Shark's Fin Siomai,"Ayala Malls Marikina, Marikina Heights, Marikina City, Marikina City"
Street Food Chinese,Master Siomai,Pork Siomai, Shrimp Siomai, Beef Siomai, Chicken Siomai, Quail Egg Siomai, Japanese Siomai, Black Gulaman, Buchi, Kikiam, Shark's Fin Siomai,"Magallanes, Makati City"
Street Food Chinese,Master Siomai,Pork Siomai, Shrimp Siomai, Beef Siomai, Chicken Siomai, Quail Egg Siomai, Japanese Siomai, Black Gulaman, Buchi, Kikiam, Shark's Fin Siomai,"Farmers Plaza, Cubao, Quezon City, Quezon City"
Chinese,MasterChef Kitchen,Sweet and Sour Pork, Kung Pao Chicken, Mapo Tofu, Dim Sum Platter, Roast Duck, Peking Pork Chops, Szechuan Beef, Mongolian Chicken, Yang Chow Fried Rice, Egg Custard Tart,"Project 8, Quezon City"
Chinese Filipino,Masuki,Beef Mami, Siopao, Pancit Canton, Lechon Macau, Lemon Chicken, Fried Dumplings, Fried Rice, Peking Duck, Hototay Soup, Halo-Halo,"Binondo, Manila"
Chinese Filipino,Masuki,Beef Mami, Siopao, Pancit Canton, Lechon Macau, Lemon Chicken, Fried Dumplings, Fried Rice, Peking Duck, Hototay Soup, Halo-Halo,"SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City"
Chinese Filipino,Masuki,Beef Mami, Siopao, Pancit Canton, Lechon Macau, Lemon Chicken, Fried Dumplings, Fried Rice, Peking Duck, Hototay Soup, Halo-Halo,"Greenhills, San Juan City"
Chinese Filipino,Masuki,Beef Mami, Siopao, Pancit Canton, Lechon Macau, Lemon Chicken, Fried Dumplings, Fried Rice, Peking Duck, Hototay Soup, Halo-Halo,"Lucky Chinatown Mall, Binondo, Manila, Manila"
Korean Japanese,Matgalne Korean Restaurant,Samgyeopsal, Bulgogi, Japchae, Kimchi Jjigae, Bibimbap, Galbi, Tteokbokki, Gimbap, Kimbap, Banchan (Assorted Side Dishes),"Shangri-La Plaza, Ortigas, Mandaluyong City, Mandaluyong City"
Korean Korean BBQ,Matgalne Korean Restaurant,Samgyeopsal, Bulgogi, Japchae, Kimchi Jjigae, Bibimbap, Galbi, Tteokbokki, Gimbap, Kimbap, Banchan (Assorted Side Dishes),"Ortigas, Pasig City"
Korean Korean BBQ,Matgalne Korean Restaurant,Samgyeopsal, Bulgogi, Japchae, Kimchi Jjigae, Bibimbap, Galbi, Tteokbokki, Gimbap, Kimbap, Banchan (Assorted Side Dishes),"Poblacion, Makati City"
Japanese BBQ,Matsuri - Japanese BBQ and Yakiniku,Wagyu Beef, Pork Belly, Chicken Yakitori, Beef Tongue, Salmon Teriyaki, Gyoza, Miso Soup, Tempura, Sushi Rolls, Matcha Ice Cream,"BF Homes, Para̱aque City"
Korean,Matzzip,Korean Fried Chicken, Bibimbap, Jjimdak, Kimbap, Kimchi Jjigae, Rabokki, Budae Jjigae, Tteokbokki, Galbi Jjim, Bingsu,"Paligsahan, Quezon City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"South Caloocan, Caloocan City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"South Caloocan, Caloocan City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Starmall EDSA-Shaw Boulevard, Highway Hills, Mandaluyong City, Mandaluyong City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Harbor Square, Malate, Manila, Manila"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Shangri-La Plaza, Ortigas, Mandaluyong City, Mandaluyong City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Kapitolyo, Pasig City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Ayala Malls The 30th, Ugong, Pasig City, Pasig City"
Fast Food Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Eastwood Citywalk 1, Libis, Quezon City, Quezon City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Forum Robinsons, Buayang Bato, Mandaluyong City, Mandaluyong City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"SM City Manila, Ermita, Manila, Manila"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Starmall Alabang, Filinvest City, Muntinlupa City, Muntinlupa City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Festival Mall, Filinvest City, Muntinlupa City , Muntinlupa City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Fairview, Quezon City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"BGC Stopover Pavilion, Bonifacio Global City, Taguig City, Taguig City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Pamplona, Las Pi̱as City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Magallanes, Makati City"
Fast Food Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Eco Eats, Magallanes, Makati City, Makati City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Puregold Valenzuela, Dalandanan, Valenzuela City, Valenzuela City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Uptown Place Mall, Bonifacio Global City, Taguig City, Taguig City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"SM Southmall, Almanza, Las Pi̱as City, Las Pi̱as City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Harrison Plaza, Malate, Manila, Manila"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"UP Town Center, Diliman, Quezon City, Quezon City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Farmers Plaza, Cubao, Quezon City, Quezon City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Tutuban Center Mall, Tondo, Manila, Manila"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Trinoma Mall, Bagong Pag-Asa, Quezon City, Quezon City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Ayala Fairview Terraces, Novaliches, Quezon City, Quezon City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"San Antonio, Para̱aque City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Robinsons Place Manila, Ermita, Manila, Manila"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Coliseum Circle, Cubao, Quezon City, Quezon City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Ali Mall, Cubao, Quezon City, Quezon City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"The Village Square Alabang, Almanza, Las Pi̱as City, Las Pi̱as City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"West Triangle, Quezon City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Burgos Circle, Bonifacio Global City, Taguig City, Taguig City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"SM City Valenzuela, Karuhatan, Valenzuela City, Valenzuela City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Batasan Hills, Quezon City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"SM City Sucat, San Dionisio, Para̱aque City, Para̱aque City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Project 8, Quezon City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"SM City North EDSA, Bago Bantay, Quezon City, Quezon City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"SM City Bicutan, Don Bosco, Para̱aque City, Para̱aque City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"SM City San Lazaro, Santa Cruz, Manila, Manila"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"SM City Fairview, Novaliches, Quezon City, Quezon City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"SM City Santa Mesa, Santa Mesa, Quezon City, Quezon City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"SM City Marikina, Calumpang, Marikina City, Marikina City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"SM City Novaliches, Novaliches, Quezon City, Quezon City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"SM Makati, Glorietta Complex, Makati City, Makati City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Glorietta 3, Glorietta Complex, Makati CIty, Makati City"
Filipino,Max's Restaurant,Max's Fried Chicken, Kare-Kare, Sinigang, Adobo, Pancit Canton, Crispy Pata, Sizzling Tofu, Bangus Belly, Halo-Halo, Leche Flan,"Market! Market!, Bonifacio Global City, Taguig City, Taguig City"
Taiwanese,Mazendo,Beef Noodle Soup, Braised Pork Rice, Fried Chicken Chop, Dumplings, Spicy Wontons, Scallion Pancake, Three-Cup Chicken, Taiwanese Sausage, Stinky Tofu, Bubble Tea,"S Maison, Conrad Manila, Mall of Asia Complex (MOA), Pasay City, Pasay City"
Middle Eastern,Mazza,Hummus, Falafel, Shawarma, Tabouli, Kibbeh, Baba Ganoush, Baklava, Fatoush Salad, Lamb Kofta, Pistachio Ice Cream,"Eastwood Citywalk 2, Libis, Quezon City, Quezon City"
Middle Eastern,Mazza,Hummus, Falafel, Shawarma, Tabouli, Kibbeh, Baba Ganoush, Baklava, Fatoush Salad, Lamb Kofta, Pistachio Ice Cream,"Solaris One Building, Legaspi Village, Makati City, Makati City"
Middle Eastern,Mazza,Hummus, Falafel, Shawarma, Tabouli, Kibbeh, Baba Ganoush, Baklava, Fatoush Salad, Lamb Kofta, Pistachio Ice Cream,"Eton Centris, Diliman, Quezon City , Quezon City"
Fast Food American,McDonald's,Big Mac, Cheeseburger, Chicken McNuggets, French Fries, Quarter Pounder with Cheese, Filet-O-Fish, McChicken, McFlurry, Apple Pie, McCaf̩ Coffee,"SM City Sucat, San Dionisio, Para̱aque City, Para̱aque City"
Fast Food American,McDonald's,Big Mac, Cheeseburger, Chicken McNuggets, French Fries, Quarter Pounder with Cheese, Filet-O-Fish, McChicken, McFlurry, Apple Pie, McCaf̩ Coffee,"Ayala Fairview Terraces, Novaliches, Quezon City, Quezon City"
Fast Food American,McDonald's,Big Mac, Cheeseburger, Chicken McNuggets, French Fries, Quarter Pounder with Cheese, Filet-O-Fish, McChicken, McFlurry, Apple Pie, McCaf̩ Coffee,"SM City Valenzuela, Karuhatan, Valenzuela City, Valenzuela City"
Fast Food American,McDonald's,Big Mac, Cheeseburger, Chicken McNuggets, French Fries, Quarter Pounder with Cheese, Filet-O-Fish, McChicken, McFlurry, Apple Pie, McCaf̩ Coffee,"Tutuban Center Mall, Tondo, Manila, Manila"
Fast Food American,McDonald's,Big Mac, Cheeseburger, Chicken McNuggets, French Fries, Quarter Pounder with Cheese, Filet-O-Fish, McChicken, McFlurry, Apple Pie, McCaf̩ Coffee,"South Caloocan, Caloocan City"
Fast Food American,McDonald's,Big Mac, Cheeseburger, Chicken McNuggets, French Fries, Quarter Pounder with Cheese, Filet-O-Fish, McChicken, McFlurry, Apple Pie, McCaf̩ Coffee,"Trinoma Mall, Bagong Pag-Asa, Quezon City, Quezon City"
Fast Food American,McDonald's,Big Mac, Cheeseburger, Chicken McNuggets, French Fries, Quarter Pounder with Cheese, Filet-O-Fish, McChicken, McFlurry, Apple Pie, McCaf̩ Coffee,"Ayala Malls Vertis North, Bagong Pag-asa, Quezon City, Quezon City"
Fast Food American,McDonald's,Big Mac, Cheeseburger, Chicken McNuggets, French Fries, Quarter Pounder with Cheese, Filet-O-Fish, McChicken, McFlurry, Apple Pie, McCaf̩ Coffee,"Makati Cinema Square, Legaspi Village, Makati City, Makati City"
Fast Food American,McDonald's,Big Mac, Cheeseburger, Chicken McNuggets, French Fries, Quarter Pounder with Cheese, Filet-O-Fish, McChicken, McFlurry, Apple Pie, McCaf̩ Coffee,"Ali Mall, Cubao, Quezon City, Quezon City"
Fast Food American,McDonald's,Big Mac, Cheeseburger, Chicken McNuggets, French Fries, Quarter Pounder with Cheese, Filet-O-Fish, McChicken, McFlurry, Apple Pie, McCaf̩ Coffee,"Fairview, Quezon City"
Fast Food American,McDonald's,Big Mac, Cheeseburger, Chicken McNuggets, French Fries, Quarter Pounder with Cheese, Filet-O-Fish, McChicken, McFlurry, Apple Pie, McCaf̩ Coffee,"Pamplona, Las Pi̱as City"
Fast Food American,McDonald's,Big Mac, Cheeseburger, Chicken McNuggets, French Fries, Quarter Pounder with Cheese, Filet-O-Fish, McChicken, McFlurry, Apple Pie, McCaf̩ Coffee,"Isetann Mall, Quiapo, Manila, Manila"
Fast Food American,McDonald's,Big Mac, Cheeseburger, Chicken McNuggets, French Fries, Quarter Pounder with Cheese, Filet-O-Fish, McChicken, McFlurry, Apple Pie, McCaf̩ Coffee,"Greenbelt, Makati City"
Fast Food American,McDonald's,Big Mac, Cheeseburger, Chicken McNuggets, French Fries, Quarter Pounder with Cheese, Filet-O-Fish, McChicken, McFlurry, Apple Pie, McCaf̩ Coffee,"Ayala Malls Feliz, Dela Paz, Pasig City, Pasig City"
Fast Food American,McDonald's,Big Mac, Cheeseburger, Chicken McNuggets, French Fries, Quarter Pounder with Cheese, Filet-O-Fish, McChicken, McFlurry, Apple Pie, McCaf̩ Coffee,"SM City Novaliches, Novaliches, Quezon City, Quezon City"
Fast Food American,McDonald's,Big Mac, Cheeseburger, Chicken McNuggets, French Fries, Quarter Pounder with Cheese, Filet-O-Fish, McChicken, McFlurry, Apple Pie, McCaf̩ Coffee,"Festival Mall, Filinvest City, Muntinlupa City , Muntinlupa City"
Fast Food American,McDonald's,Big Mac, Cheeseburger, Chicken McNuggets, French Fries, Quarter Pounder with Cheese, Filet-O-Fish, McChicken, McFlurry, Apple Pie, McCaf̩ Coffee,"SM City Bicutan, Don Bosco, Para̱aque City, Para̱aque City"
Fast Food American,McDonald's,Big Mac, Cheeseburger, Chicken McNuggets, French Fries, Quarter Pounder with Cheese, Filet-O-Fish, McChicken, McFlurry, Apple Pie, McCaf̩ Coffee,"Resorts World Manila, Newport City, Pasay City, Pasay City"
Fast Food American,McDonald's,Big Mac, Cheeseburger, Chicken McNuggets, French Fries, Quarter Pounder with Cheese, Filet-O-Fish, McChicken, McFlurry, Apple Pie, McCaf̩ Coffee,"Pateros City, Pateros City"
Fast Food American,McDonald's,Big Mac, Cheeseburger, Chicken McNuggets, French Fries, Quarter Pounder with Cheese, Filet-O-Fish, McChicken, McFlurry, Apple Pie, McCaf̩ Coffee,"Loyola Heights, Quezon City"
Fast Food American,McDonald's,Big Mac, Cheeseburger, Chicken McNuggets, French Fries, Quarter Pounder with Cheese, Filet-O-Fish, McChicken, McFlurry, Apple Pie, McCaf̩ Coffee,"Uptown Place Mall, Bonifacio Global City, Taguig City, Taguig City"
